,market,name,region,subregion,languages_dict,languages
59,CUW,Curaçao,Americas,Caribbean,"[{'iso639_1': 'nl', 'iso639_2': 'nld', 'name': 'Dutch', 'nativeName': 'Nederlands'}, {'iso639_1': 'pa', 'iso639_2': 'pan', 'name': '(Eastern) Punjabi', 'nativeName': 'ਪੰਜਾਬੀ'}, {'iso639_1': 'en', 'iso639_2': 'eng', 'name': 'English', 'nativeName': 'English'}]",Dutch;(Eastern) Punjabi;English
60,CYP,Cyprus,Europe,Southern Europe,"[{'iso639_1': 'el', 'iso639_2': 'ell', 'name': 'Greek (modern)', 'nativeName': 'ελληνικά'}, {'iso639_1': 'tr', 'iso639_2': 'tur', 'name': 'Turkish', 'nativeName': 'Türkçe'}, {'iso639_1': 'hy', 'iso639_2': 'hye', 'name': 'Armenian', 'nativeName': 'Հայերեն'}]",Greek (modern);Turkish;Armenian
61,CZE,Czech Republic,Europe,Central Europe,"[{'iso639_1': 'cs', 'iso639_2': 'ces', 'name': 'Czech', 'nativeName': 'čeština'}, {'iso639_1': 'sk', 'iso639_2': 'slk', 'name': 'Slovak', 'nativeName': 'slovenčina'}]",Czech;Slovak
62,DNK,Denmark,Europe,Northern Europe,"[{'iso639_1': 'da', 'iso639_2': 'dan', 'name': 'Danish', 'nativeName': 'dansk'}]",Danish
63,DJI,Djibouti,Africa,Eastern Africa,"[{'iso639_1': 'fr', 'iso639_2': 'fra', 'name': 'French', 'nativeName': 'français'}, {'iso639_1': 'ar', 'iso639_2': 'ara', 'name': 'Arabic', 'nativeName': 'العربية'}]",French;Arabic
64,DMA,Dominica,Americas,Caribbean,"[{'iso639_1': 'en', 'iso639_2': 'eng', 'name': 'English', 'nativeName': 'English'}]",English
65,DOM,Dominican Republic,Americas,Caribbean,"[{'iso639_1': 'es', 'iso639_2': 'spa', 'name': 'Spanish', 'nativeName': 'Español'}]",Spanish
66,ECU,Ecuador,Americas,South America,"[{'iso639_1': 'es', 'iso639_2': 'spa', 'name': 'Spanish', 'nativeName': 'Español'}]",Spanish
67,EGY,Egypt,Africa,Northern Africa,"[{'iso639_1': 'ar', 'iso639_2': 'ara', 'name': 'Arabic', 'nativeName': 'العربية'}]",Arabic
68,SLV,El Salvador,Americas,Central America,"[{'iso639_1': 'es', 'iso639_2': 'spa', 'name': 'Spanish', 'nativeName': 'Español'}]",Spanish
